text,categories
"My payment was processed twice, and I only ordered once.",['Billing Issue']
I forgot my password and can't get back into my account.,['Account Access']
The product I received doesn't match the description on your website.,['Product Inquiry']
I tried to update my shipping address but it keeps giving me an error.,['Shipping Concern']
I requested a refund two weeks ago and still haven't heard back.,['Refund Request']
"Every time I try to log in, it says my credentials are invalid.",['Account Access']
My order tracking number isn't working on the carrier's website.,['Shipping Concern']
The latest software update caused my app to crash constantly.,['Technical Problem']
Can you provide more details about the warranty for this item?,['Product Inquiry']
The invoice amount doesn't match what I was charged.,['Billing Issue']
I was charged after I canceled my subscription.,['Billing Issue']
My package arrived damaged and I'm really disappointed.,['Shipping Concern']
I keep getting an error message when I try to complete my purchase.,['Technical Problem']
I'm unable to reset my password because I never receive the email.,['Account Access']
I would like to know if this model comes in other colors.,['Product Inquiry']
I canceled my order but it still shipped.,['Shipping Concern']
Please explain why there is an extra fee on my bill this month.,['Billing Issue']
The device won't connect to WiFi no matter what I do.,['Technical Problem']
How do I return an item I purchased last month?,['Refund Request']
I tried updating my payment method and it won't save.,['Billing Issue']
My account was locked without any explanation.,['Account Access']
Could you tell me when this product will be back in stock?,['Product Inquiry']
I received the wrong item in my shipment.,['Shipping Concern']
The checkout page freezes whenever I try to submit my order.,['Technical Problem']
I requested a cancellation but was still billed.,['Billing Issue']
How long does it take to process a refund?,['Refund Request']
My login keeps timing out before I can access anything.,['Account Access']
The instructions for installation are missing.,['Product Inquiry']
My credit card was charged twice for the same order.,['Billing Issue']
I tried to update my email but the system says it's invalid.,['Technical Problem']
The delivery date has passed and I still haven't received my package.,['Shipping Concern']
I've been waiting over a month for my refund to process.,['Refund Request']
I'd like more information about this product's features.,['Product Inquiry']
My subscription renewal charged me the wrong amount.,['Billing Issue']
The app won't open after the recent update.,['Technical Problem']
I can't verify my account even though I uploaded my ID.,['Account Access']
Why did you change the price of the item after I placed my order?,['Billing Issue']
I ordered express shipping but it arrived late.,['Shipping Concern']
My account was deactivated without notice.,['Account Access']
I need help understanding how to use this product.,['Product Inquiry']
The payment screen keeps showing an unknown error.,['Technical Problem']
I tried to cancel my subscription but it didn't work.,['Billing Issue']
I requested a return label and haven't received it.,['Refund Request']
My package was marked delivered but I never got it.,['Shipping Concern']
Please explain why I was charged an international fee.,['Billing Issue']
I can't get past the login screen no matter what I try.,['Account Access']
The device is defective right out of the box.,['Technical Problem']
How can I check if my order has shipped?,['Shipping Concern']
I returned my order but haven't received a confirmation.,['Refund Request']
Why was my payment declined? My card is fine.,['Billing Issue']
My account keeps locking me out every few days.,['Account Access']
"The product page says it's in stock, but checkout says sold out.",['Product Inquiry']
I received an empty box instead of my order.,['Shipping Concern']
I can't download the software I purchased.,['Technical Problem']
I was billed for something I never ordered.,['Billing Issue']
I have questions about the compatibility of this product.,['Product Inquiry']
The refund amount doesn't match what I paid.,['Refund Request']
"Every time I try to pay, it says transaction failed.",['Billing Issue']
My password reset link expired before I could use it.,['Account Access']
The shipping estimate keeps changing.,['Shipping Concern']
The product arrived without any accessories.,['Product Inquiry']
I'm unable to access premium features I paid for.,['Technical Problem']
How do I cancel my order before it ships?,['Refund Request']
The checkout keeps looping back to the cart.,['Technical Problem']
My account was suspended without explanation.,['Account Access']
I received the wrong size item.,['Shipping Concern']
My device won't power on at all.,['Technical Problem']
I have a question about bulk pricing.,['Product Inquiry']
I need to update my billing info but the page won't load.,['Billing Issue']
The tracking shows delivered but there's nothing here.,['Shipping Concern']
"I was charged and the app won't load, and I can't reset my password.","['Billing Issue', 'Technical Problem', 'Account Access']"
My package arrived broken and I want a refund.,"['Shipping Concern', 'Refund Request']"
I can't log in and also need help with my payment info.,"['Account Access', 'Billing Issue']"
I was billed twice and my order still hasn't shipped.,"['Billing Issue', 'Shipping Concern']"
The website crashes when I try to check out and pay.,"['Technical Problem', 'Billing Issue']"
My account was suspended and I need to get my refund processed.,"['Account Access', 'Refund Request']"
I ordered the wrong item and was still charged after cancellation.,"['Billing Issue', 'Refund Request']"
The software isn't working and I can't access my account dashboard.,"['Technical Problem', 'Account Access']"
The payment failed but my card was charged and the order never shipped.,"['Billing Issue', 'Shipping Concern']"
I have questions about this product and how to set it up.,"['Product Inquiry', 'Technical Problem']"
I tried updating my shipping address and the site crashed.,"['Shipping Concern', 'Technical Problem']"
My order was delayed and I want to cancel and get a refund.,"['Shipping Concern', 'Refund Request']"
I can't reset my password and your app keeps freezing.,"['Account Access', 'Technical Problem']"
The invoice is wrong and I never got the product.,"['Billing Issue', 'Shipping Concern']"
I requested a refund but my account is locked.,"['Refund Request', 'Account Access']"
I was overcharged and the wrong item was delivered.,"['Billing Issue', 'Shipping Concern']"
I have a billing question and also can't update my shipping address.,"['Billing Issue', 'Shipping Concern']"
The software update broke my device and I can't log in.,"['Technical Problem', 'Account Access']"
I can't track my shipment and I was charged extra fees.,"['Shipping Concern', 'Billing Issue']"
My payment didn't go through but I got charged and now I can't access my account.,"['Billing Issue', 'Account Access']"
I ordered express shipping but it arrived late and the product is defective.,"['Shipping Concern', 'Technical Problem']"
The product is missing parts and the instructions are unclear.,"['Product Inquiry', 'Technical Problem']"
I tried to cancel but was billed anyway and the order shipped.,"['Billing Issue', 'Refund Request', 'Shipping Concern']"
The checkout page freezes and shows the wrong total amount.,"['Technical Problem', 'Billing Issue']"
I never received my order and my account says it's delivered.,"['Shipping Concern', 'Account Access']"
My login keeps failing and I was charged after cancellation.,"['Account Access', 'Billing Issue']"
I can't download the app and I also have questions about my bill.,"['Technical Problem', 'Billing Issue']"
I need help with installation and billing questions.,"['Technical Problem', 'Billing Issue']"
The refund hasn't been processed and I can't log into my account to check.,"['Refund Request', 'Account Access']"
My account is locked and I can't track my shipment.,"['Account Access', 'Shipping Concern']"
My credit card was charged but I didn't receive a confirmation email.,['Billing Issue']
I forgot my username and can't log in to my account.,['Account Access']
"The product description said it includes accessories, but they were missing.",['Product Inquiry']
I tried to change my payment method and got an error.,['Billing Issue']
The tracking link you sent me isn't working.,['Shipping Concern']
I requested a refund last week but haven't heard anything.,['Refund Request']
"Every time I open the app, it immediately crashes.",['Technical Problem']
How do I find out if this product is compatible with my system?,['Product Inquiry']
I was charged after I already canceled my membership.,['Billing Issue']
I keep getting logged out every time I try to update my profile.,['Account Access']
I received the wrong product in my order.,['Shipping Concern']
The software update deleted all my saved data.,['Technical Problem']
I need to know when this product will be back in stock.,['Product Inquiry']
My package arrived late even though I paid for express delivery.,['Shipping Concern']
I can't reset my password because the link says it's expired.,['Account Access']
The invoice amount is higher than what was shown at checkout.,['Billing Issue']
I returned my item but haven't received my refund.,['Refund Request']
I can't install the app on my device.,['Technical Problem']
How do I cancel my preorder before it's shipped?,['Refund Request']
The checkout process keeps freezing when I enter my payment details.,['Technical Problem']
My account was locked for suspicious activity but I didn't do anything.,['Account Access']
I have a question about the warranty policy for this product.,['Product Inquiry']
Why was there an extra charge on my statement?,['Billing Issue']
"The delivery status says delivered, but I never received anything.",['Shipping Concern']
My login credentials stopped working suddenly.,['Account Access']
I was billed twice for one purchase.,['Billing Issue']
